class,direction,rank,gene,coefficient
naive B cell,negative,10,ENSG00000170906,-0.029996937
naive B cell,negative,11,ENSG00000165525,-0.024628349
naive B cell,negative,12,ENSG00000102786,-0.0062269405
naive B cell,negative,13,ENSG00000056586,-0.0060319128
naive B cell,negative,14,ENSG00000101972,0.0
naive B cell,negative,15,ENSG00000184216,0.0
naive B cell,negative,16,ENSG00000169057,0.0
naive B cell,negative,17,ENSG00000196924,0.0
naive B cell,negative,18,ENSG00000102119,0.0
naive B cell,negative,19,ENSG00000102125,0.0
naive B cell,negative,20,ENSG00000071553,0.0
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,1,ENSG00000010610,0.7674768
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,2,ENSG00000163519,0.5263053
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,3,ENSG00000168685,0.25000057
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,4,ENSG00000149212,0.2072477
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,5,ENSG00000186854,0.17884135
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,6,ENSG00000082074,0.17048886
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,7,ENSG00000172005,0.12865157
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,8,ENSG00000065357,0.11901775
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,9,ENSG00000127311,0.11663026
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,10,ENSG00000196329,0.11095583
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,11,ENSG00000185811,0.10697484
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,12,ENSG00000178562,0.097890906
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,13,ENSG00000168056,0.090718545
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,14,ENSG00000091409,0.08444733
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,15,ENSG00000138795,0.08381073
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,16,ENSG00000182568,0.08332535
"naive thymus-derived CD4-positive, alpha-beta T cell",positive,17,ENSG00000157303,0.06487693
