class,direction,rank,gene_id,gene_symbol,coefficient
memory B cell,positive,12,ENSG00000126821,SGPP1,0.08802286
memory B cell,positive,13,ENSG00000119408,NEK6,0.08698702
memory B cell,positive,14,ENSG00000076604,TRAF4,0.0837052
memory B cell,positive,15,ENSG00000140750,ARHGAP17,0.0811761
memory B cell,positive,16,ENSG00000103811,CTSH,0.067591324
memory B cell,positive,17,ENSG00000166405,RIC3,0.06585042
memory B cell,positive,18,ENSG00000152492,CCDC50,0.06300928
memory B cell,positive,19,ENSG00000124942,AHNAK,0.0627929
memory B cell,positive,20,ENSG00000213145,CRIP1,0.04164574
memory B cell,negative,1,ENSG00000182568,SATB1,-0.47082224
memory B cell,negative,2,ENSG00000100422,CERK,-0.073212266
memory B cell,negative,3,ENSG00000069493,CLEC2D,-0.028564015
memory B cell,negative,4,ENSG00000187608,ISG15,0.0
memory B cell,negative,5,ENSG00000184216,IRAK1,0.0
memory B cell,negative,6,ENSG00000169057,MECP2,0.0
memory B cell,negative,7,ENSG00000196924,FLNA,0.0
memory B cell,negative,8,ENSG00000102119,EMD,0.0
memory B cell,negative,9,ENSG00000102125,TAZ,0.0
memory B cell,negative,10,ENSG00000071553,ATP6AP1,0.0
memory B cell,negative,11,ENSG00000203879,GDI1,0.0
memory B cell,negative,12,ENSG00000160211,G6PD,0.0
memory B cell,negative,13,ENSG00000269335,IKBKG,0.0
memory B cell,negative,14,ENSG00000160219,GAB3,0.0
memory B cell,negative,15,ENSG00000183878,UTY,0.0
memory B cell,negative,16,ENSG00000012817,KDM5D,0.0
memory B cell,negative,17,ENSG00000198888,MT-ND1,0.0
memory B cell,negative,18,ENSG00000198763,MT-ND2,0.0
memory B cell,negative,19,ENSG00000049245,VAMP3,0.0
memory B cell,negative,20,ENSG00000212907,MT-ND4L,0.0
naive B cell,positive,1,ENSG00000100721,TCL1A,0.9999987
naive B cell,positive,2,ENSG00000211898,IGHD,0.60694844
naive B cell,positive,3,ENSG00000147535,PLPP5,0.5156367
naive B cell,positive,4,ENSG00000104921,FCER2,0.3186815
naive B cell,positive,5,ENSG00000084234,APLP2,0.29515326
naive B cell,positive,6,ENSG00000137101,CD72,0.18344109
naive B cell,positive,7,ENSG00000163534,FCRL1,0.15942405
naive B cell,positive,8,ENSG00000101017,CD40,0.15696022
naive B cell,positive,9,ENSG00000169762,TAPT1,0.12674457
naive B cell,positive,10,ENSG00000135048,CEMIP2,0.06257649
naive B cell,positive,11,ENSG00000157500,APPL1,0.054636195
naive B cell,positive,12,ENSG00000087266,SH3BP2,0.049579695
naive B cell,positive,13,ENSG00000079950,STX7,0.034103166
naive B cell,positive,14,ENSG00000152804,HHEX,0.021425776
naive B cell,positive,15,ENSG00000182606,TRAK1,0.018487176
naive B cell,positive,16,ENSG00000082293,COL19A1,0.010451872
naive B cell,positive,17,ENSG00000008083,JARID2,0.003114483
naive B cell,positive,18,ENSG00000122986,HVCN1,0.0018267005
naive B cell,positive,19,ENSG00000171603,CLSTN1,0.0
naive B cell,positive,20,ENSG00000171608,PIK3CD,0.0
naive B cell,negative,1,ENSG00000166710,B2M,-0.31448823
naive B cell,negative,2,ENSG00000140853,NLRC5,-0.17941137
naive B cell,negative,3,ENSG00000026025,VIM,-0.1524454
naive B cell,negative,4,ENSG00000213145,CRIP1,-0.06454186
naive B cell,negative,5,ENSG00000198886,MT-ND4,0.0
naive B cell,negative,6,ENSG00000184216,IRAK1,0.0
naive B cell,negative,7,ENSG00000169057,MECP2,0.0
naive B cell,negative,8,ENSG00000196924,FLNA,0.0
